bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/jiangshi_reborn+		
upkeep_mod	graveguard_upkeep	vmp_graveguard
upkeep_mod	forest_chain_upkeep	vmp_beasts
upkeep_mod	zombie_upkeep	vmp_zombies
mod_land_movement_battle	zombie_speed	vmp_zombies
morale	zombie_leadership	vmp_zombies
missile_damage_mod_mult	cm_rangedmg	jiang_cannon_gg
melee_damage_mod_add	dch_ws	frost_halberds
armour_mod	fr_armor	vmp_zombies
unit_damage_resistance_missile_mod	fss_mr	jiang_lantern_gg
mod_land_movement_battle	fss_speed	jiang_lantern_gg
battle_barrier_health	gs_barrier	banshee_jiang
mod_land_movement_battle	iw_speed	vmp_graveguard
range_mod	scs_range	jiang_ranged_bows
reload	scs_reload	jiang_ranged_bows
battle_barrier_health	ns_barrier	vmp_necromancers
battle_barrier_health	gs_barrier	jiang_haunter
unit_damage_resistance_missile_mod	fss_mr	jiang_dracolith
mod_land_movement_battle	fss_speed	jiang_dracolith
unit_fatigue_resistance_mod	iw_vigor	vmp_graveguard
unit_fatigue_resistance_mod	iw_vigor	wightking_jiang
unit_damage_resistance_missile_mod	fss_mr	jiang_shuimu
mod_land_movement_battle	fss_speed	jiang_shuimu
mod_land_movement_battle	relentless_zombies_speed	vmp_zombies
morale	relentless_zombies_ldrship	vmp_zombies
armour_mod	sheperd_spirits_arm	ethereal_shugen
damage_vs_infantry	sheperd_spirits_bvi	ethereal_shugen
unit_xp_mod	wraith_recruit	ethereal_shugen
