unit_name	unit_level	unit_type	percentage_num_men	percentage_num_health	reduce_max_number
#battle_set_piece_armies_units_tables;4;db/battle_set_piece_armies_units_tables/dynasty_of_the_damned					
theak_cth_rocket_battery	3	wh3_main_cth_art_fire_rain_rocket_battery_0	100	100	false
theak_cth_grand_cannon	3	wh3_main_cth_art_grand_cannon_0	100	100	false
theak_cth_jade_lancers	4	wh3_main_cth_cav_jade_lancers_0	100	100	false
theak_cth_jade_longma_riders	5	wh3_main_cth_cav_jade_longma_riders_0	100	100	false
theak_cth_peasant_horsemen	0	wh3_main_cth_cav_peasant_horsemen_0	100	100	false
theak_cth_inf_crane_gunners	4	wh3_main_cth_inf_crane_gunners_0	100	100	false
theak_cth_dragon_guard	6	wh3_main_cth_inf_dragon_guard_0	100	100	false
theak_cth_dragon_guard_crossbowmen	6	wh3_main_cth_inf_dragon_guard_crossbowmen_0	100	100	false
theak_cth_iron_hail_gunners	3	wh3_main_cth_inf_iron_hail_gunners_0	100	100	false
theak_cth_jade_warrior_crossbowmen_0	2	wh3_main_cth_inf_jade_warrior_crossbowmen_0	100	100	false
theak_cth_jade_warrior_crossbowmen_1	3	wh3_main_cth_inf_jade_warrior_crossbowmen_1	100	100	false
theak_cth_jade_warriors_0	3	wh3_main_cth_inf_jade_warriors_0	100	100	false
theak_cth_jade_warriors_1	3	wh3_main_cth_inf_jade_warriors_1	100	100	false
theak_cth_peasant_archers	0	wh3_main_cth_inf_peasant_archers_0	100	100	false
theak_cth_peasant_spearmen	0	wh3_main_cth_inf_peasant_spearmen_1	100	100	false
theak_cth_terracotta_sentinel	5	wh3_main_cth_mon_terracotta_sentinel_0	100	100	false
theak_cth_sky_junk	6	wh3_main_cth_veh_sky_junk_0	100	100	false
theak_cth_sky_lantern	4	wh3_main_cth_veh_sky_lantern_0	100	100	false
theak_cth_war_compass	5	wh3_main_cth_veh_war_compass_0	100	100	false
theak_dynasty_wh_main_vmp_inf_grave_guard_0_jiang	4	wh_main_vmp_inf_grave_guard_0_jiang	100	100	false
theak_dynasty_wh_main_vmp_inf_grave_guard_1_jiang	5	wh_main_vmp_inf_grave_guard_1_jiang	100	100	false
theak_dynasty_wh_main_vmp_inf_skeleton_warriors_0_jiang	1	wh_main_vmp_inf_skeleton_warriors_0_jiang	100	100	false
theak_dynasty_wh_main_vmp_inf_skeleton_warriors_1_jiang	1	wh_main_vmp_inf_skeleton_warriors_1_jiang	100	100	false
theak_dynasty_jiang_grave_guard_halberd	1	jiang_grave_guard_halberd	100	100	false
theak_dynasty_jiang_grave_guard_crossbow	1	jiang_grave_guard_crossbow	100	100	false
theak_dynasty_jiang_shadow_lantern	1	jiang_shadow_lantern	100	100	false
theak_dynasty_jiang_zombie_longspear	1	jiang_zombie_longspear	100	100	false
theak_dynasty_jiang_damned_cannon	1	jiang_damned_cannon	100	100	false
theak_dynasty_jiang_zombie_reg	1	jiang_zombie_reg	100	100	false
theak_dynasty_jiang_dracolith	1	jiang_dracolith	100	100	false
theak_dynasty_jiang_zombie_archer	1	jiang_zombie_archer	100	100	false
theak_dynasty_jiang_zombie_archer_putridshaft	1	jiang_zombie_archer_putridshaft	100	100	false
theak_dynasty_jiang_grave_guard_crossbow_balefireshaft	1	jiang_grave_guard_crossbow_balefireshaft	100	100	false
theak_dynasty_jiang_necro_mortar	1	jiang_necro_mortar	100	100	false
theak_dynasty_jiang_copsewight	1	jiang_copsewight	100	100	false
theak_dynasty_jiang_shuimu	1	jiang_shuimu	100	100	false
theak_dynasty_jiang_longma_undead	1	jiang_longma_undead	100	100	false
moloch_monks	6	bm_theak_moloch_monks	100	100	false
