bonus_value_id	effect	subculture
#effect_bonus_value_subculture_junctions_tables;0;db/effect_bonus_value_subculture_junctions_tables/jiangshi_reborn+		
sacking_mod	wh2_dlc11_effect_campaign_sacking_income_vampire_counts	jiangshi_subculture
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vlad	jiangshi_subculture
diplomatic_mod	wh2_dlc14_effect_diplomacy_vmp_cst_tmb	jiangshi_subculture
diplomatic_mod	wh2_main_faction_political_diplomacy_mod_mazdamundi	jiangshi_subculture
diplomatic_mod	wh3_main_faction_political_diplomacy_mod_vampiric_undead	jiangshi_subculture
sacking_mod	wh_dlc08_effect_campaign_sacking_income_empire_vamps_greenskins	jiangshi_subculture
diplomatic_mod	wh_dlc15_faction_diplomacy_bonus_vampires_arkhan	jiangshi_subculture
diplomatic_mod_imperium	wh_main_effect_faction_imperium_diplomacy_penalty	jiangshi_subculture
diplomatic_mod_other	wh_main_faction_political_diplomacy_mod_confederation_vampire_counts	jiangshi_subculture
diplomatic_mod_tech	wh_main_faction_political_diplomacy_mod_technology_vampire_counts	jiangshi_subculture
diplomatic_mod_tech	wh_main_faction_political_diplomacy_mod_technology	jiangshi_subculture
diplomatic_mod	wh_main_faction_political_diplomacy_mod_vampire_counts	jiangshi_subculture
diplomatic_mod	wh_main_faction_political_diplomacy_mod	jiangshi_subculture
