id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/jiangshi_reborn+		
472031391	wh_main_vmp_garrison_1	jiang_defence_minor_1
472031392	wh_main_vmp_garrison_2	jiang_defence_minor_2
472031393	wh_main_vmp_settlement_major_1	jiang_settlement_major_1
472031394	wh_main_vmp_settlement_major_2	jiang_settlement_major_2
472031395	wh_main_vmp_settlement_major_3	jiang_settlement_major_3
472031396	wh_main_vmp_settlement_major_4	jiang_settlement_major_4
472031397	wh_main_vmp_settlement_major_5	jiang_settlement_major_5
472031398	wh_main_vmp_settlement_minor_1	jiang_settlement_minor_1
472031399	wh_main_vmp_settlement_minor_2	jiang_settlement_minor_2
472031400	wh_main_vmp_settlement_minor_3	jiang_settlement_minor_3
472031401	wh_main_vmp_walls_1	jiang_defence_major_1
472031402	wh_main_vmp_walls_2	jiang_defence_major_2
472031403	wh_main_vmp_walls_3	jiang_defence_major_3
31454667	wh3_main_vmp_allied_outpost_1	jiang_allied_1
31454668	wh3_main_vmp_allied_outpost_2	jiang_allied_2
31454669	wh3_main_vmp_allied_outpost_3	jiang_allied_3
