id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;0;db/campaign_character_arts_tables/astroliche_+																
454456677	astroliche_theak_01	0	0		none	astroliche_theak_01			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1e_hr1_mage_lord	cam_cathayship_01	cam_cathayship_01	0	0	0
454456678	astroliche_theak_02	0	0		none	astroliche_theak_02			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1e_hr1_mage_lord	cam_cathayship_01	cam_cathayship_01	0	0	0
454456679	jade_shugengan_01	0	0		none	jade_shugengan_01			wh3_uniform_cth_ship_lord	wh3_uniform_cth_ship_lord	cam_hu1e_hr1_mage_lord	cam_cathayship_01	cam_cathayship_01	130	0	0
454456680	jade_shugengan_02	0	0		none	jade_shugengan_02			wh3_uniform_cth_ship_lord	wh3_uniform_cth_ship_lord	cam_hu1e_hr1_mage_lord	cam_cathayship_01	cam_cathayship_01	130	0	0
454456681	jade_shugengan_03	0	0		none	jade_shugengan_03			wh3_uniform_cth_ship_lord	wh3_uniform_cth_ship_lord	cam_hu1e_hr1_mage_lord	cam_cathayship_01	cam_cathayship_01	130	0	0
454456682	jiang_art_set_vmp_wight_king_01	0	0		none	jiang_wight_king_campaign_01			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1_empire_sword_and_shield	cam_cathayship_01	cam_cathayship_01	0	0	0
454456683	jiang_art_set_vmp_wight_king_02	0	0		none	jiang_wight_king_campaign_02			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1_empire_sword_and_shield	cam_cathayship_01	cam_cathayship_01	0	0	0
454456684	jiang_art_set_vmp_wight_king_03	0	0		none	jiang_wight_king_campaign_03			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1_empire_sword_and_shield	cam_cathayship_01	cam_cathayship_01	0	0	0
454456685	jiang_art_set_vmp_wight_king_04	0	0		none	jiang_wight_king_campaign_04			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1_empire_sword_and_shield	cam_cathayship_01	cam_cathayship_01	0	0	0
454456690	jiang_art_set_vmp_necromancer_01	0	0		none	jiang_necromancer_campaign_01			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1_empire_staff_and_sword	cam_cathayship_01	cam_cathayship_01	0	0	0
454456691	jiang_art_set_vmp_necromancer_02	0	0		none	jiang_necromancer_campaign_02			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1_empire_staff_and_sword	cam_cathayship_01	cam_cathayship_01	0	0	0
454456692	jiang_art_set_vmp_necromancer_03	0	0		none	jiang_necromancer_campaign_03			wh3_uniform_cth_ship_agent	wh3_uniform_cth_ship_agent	cam_hu1_empire_staff_and_sword	cam_cathayship_01	cam_cathayship_01	0	0	0
