unit	faction_override	character_level
#campaign_mercenary_unit_character_level_restrictions_tables;1;db/campaign_mercenary_unit_character_level_restrictions_tables/jiangshi_ror+		
wh2_dlc11_cst_mon_mournguls_ror_0	wh3_dlc21_vmp_jiangshi_rebels	23
wh_dlc04_vmp_cav_chillgheists_0	wh3_dlc21_vmp_jiangshi_rebels	26
wh_dlc04_vmp_cav_vereks_reavers_0	wh3_dlc21_vmp_jiangshi_rebels	23
wh_dlc04_vmp_inf_feasters_in_the_dusk_0	wh3_dlc21_vmp_jiangshi_rebels	12
wh_dlc04_vmp_inf_konigstein_stalkers_0	wh3_dlc21_vmp_jiangshi_rebels	10
wh_dlc04_vmp_inf_sternsmen_0	wh3_dlc21_vmp_jiangshi_rebels	23
wh3_twa08_cth_mon_terracotta_sentinel_0_ror	wh3_dlc21_vmp_jiangshi_rebels	28
wh_dlc04_vmp_veh_claw_of_nagash_0	wh3_dlc21_vmp_jiangshi_rebels	30
wh2_dlc11_cst_inf_deck_gunners_ror_0	wh3_dlc21_vmp_jiangshi_rebels	20
