agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/jiang_reborn+	
jiang_xiu_necro	jiang_vmp_yuwei_lord_zombie_dragon
jiang_xiu_necro	wh_main_anc_mount_vmp_master_necromancer_hellsteed
jiang_xiu_necro	wh_main_anc_mount_vmp_master_necromancer_barded_nightmare
astroliche_theak_01	astro_barbed_skele_steed
astroliche_theak_01	astro_hellsteed
astroliche_theak_01	astro_necrocoil
jade_shugengan_01	jade_skeletal_barded
jade_shugengan_01	jade_hellsteed
jiang_xiu_necro	the_forbidden_tomes
jiang_xiu_necro	ancient_sacrifical_dagger
dotd_wight_king	wh_main_anc_mount_vmp_wight_king_barded_skeletal_steed
dotd_wight_king	wh_main_anc_mount_vmp_wight_king_skeletal_steed
dotd_master_necromancer	jiangshi_anc_mount_vmp_master_necromancer_barded_nightmare
dotd_master_necromancer	jiangshi_anc_mount_vmp_master_necromancer_corpse_cart
dotd_master_necromancer	jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_balefire
dotd_master_necromancer	jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone
dotd_master_necromancer	jiangshi_anc_mount_vmp_master_necromancer_hellsteed
dotd_vmp_necromancer	jiangshi_anc_mount_vmp_necromancer_corpse_cart
dotd_vmp_necromancer	jiangshi_anc_mount_vmp_necromancer_corpse_cart_balefire
dotd_vmp_necromancer	jiangshi_anc_mount_vmp_necromancer_corpse_cart_unholy_lodestone
dotd_vmp_necromancer	jiangshi_anc_mount_vmp_necromancer_nightmare
dotd_wight_king	jiangshi_anc_mount_vmp_wight_king_barded_skeletal_steed
dotd_wight_king	jiangshi_anc_mount_vmp_wight_king_skeletal_steed
