key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed	faction_set
#ancillaries_tables;0;db/ancillaries_tables/jiangshi_items+																												
wh3_main_anc_magic_standard_banner_of_feng_shi	wh3_main_anc_magic_standard_banner_of_feng_shi	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_banner_magic_standard_banner_of_feng_shi	1	0	banner	false	false	false	anc_set_exclusive_jiangshi
wh3_main_anc_magic_standard_banner_of_the_empress_eye	wh3_main_anc_magic_standard_banner_of_the_empress_eye	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_banner_magic_standard_banner_of_the_empress_eye	1	0	banner	false	false	false	anc_set_exclusive_jiangshi
wh3_main_anc_magic_standard_banner_of_the_moon_empress	wh3_main_anc_magic_standard_banner_of_the_moon_empress	.	true	false	false	0	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_anc_magic_standard_banner_of_the_moon_empress	1	0	banner	false	false	false	anc_set_exclusive_jiangshi
wh3_main_anc_magic_standard_bastion_standard	wh3_main_anc_magic_standard_bastion_standard	.	true	false	false	0	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_anc_magic_standard_bastion_standard	90	0	banner	true	true	true	anc_set_exclusive_jiangshi
wh3_main_anc_magic_standard_flag_of_grand_cathay	wh3_main_anc_magic_standard_flag_of_grand_cathay	.	true	false	false	0	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_anc_magic_standard_flag_of_grand_cathay	90	0	banner	true	true	true	anc_set_exclusive_jiangshi
wh3_main_anc_magic_standard_revered_banner_of_the_ancestors	wh3_main_anc_magic_standard_revered_banner_of_the_ancestors	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_anc_magic_standard_revered_banner_of_the_ancestors	80	0	banner	true	true	true	anc_set_exclusive_jiangshi
wh3_main_anc_magic_standard_serene_cloud_prayer_flag	wh3_main_anc_magic_standard_serene_cloud_prayer_flag	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_anc_magic_standard_serene_cloud_prayer_flag	30	0	banner	true	true	true	anc_set_exclusive_jiangshi
wh3_main_anc_magic_standard_standard_of_nan_gau	wh3_main_anc_magic_standard_standard_of_nan_gau	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_anc_magic_standard_standard_of_nan_gau	35	0	banner	true	true	true	anc_set_exclusive_jiangshi
wh3_main_anc_magic_standard_standard_of_shang_yang	wh3_main_anc_magic_standard_standard_of_shang_yang	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		wh3_main_anc_magic_standard_standard_of_shang_yang	70	0	banner	true	true	true	anc_set_exclusive_jiangshi
