uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/jiang_reborn+					
yuwei_feng_0	yuwei_feng_0	yuwei_feng_0	yuwei_feng_0		
jiang_wight_king_campaign_01	jiang_wight_king_campaign_01	jiang_wight_king_campaign_01	jiang_wight_king_campaign_01		
jiang_wight_king_campaign_02	jiang_wight_king_campaign_02	jiang_wight_king_campaign_02	jiang_wight_king_campaign_02		
jiang_wight_king_campaign_03	jiang_wight_king_campaign_03	jiang_wight_king_campaign_03	jiang_wight_king_campaign_03		
jiang_wight_king_campaign_04	jiang_wight_king_campaign_04	jiang_wight_king_campaign_04	jiang_wight_king_campaign_04		
jiang_master_necromancer_campaign_01	jiang_master_necromancer_campaign_01	jiang_master_necromancer_campaign_01	jiang_master_necromancer_campaign_01		
jiang_master_necromancer_campaign_02	jiang_master_necromancer_campaign_02	jiang_master_necromancer_campaign_02	jiang_master_necromancer_campaign_02		
jiang_master_necromancer_campaign_03	jiang_master_necromancer_campaign_03	jiang_master_necromancer_campaign_03	jiang_master_necromancer_campaign_03		
jiang_master_necromancer_campaign_04	jiang_master_necromancer_campaign_04	jiang_master_necromancer_campaign_04	jiang_master_necromancer_campaign_04		
jiang_necromancer_campaign_01	jiang_necromancer_campaign_01	jiang_necromancer_campaign_01	jiang_necromancer_campaign_01		
jiang_necromancer_campaign_02	jiang_necromancer_campaign_02	jiang_necromancer_campaign_02	jiang_necromancer_campaign_02		
jiang_necromancer_campaign_03	jiang_necromancer_campaign_03	jiang_necromancer_campaign_03	jiang_necromancer_campaign_03		
