attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/astroliche_+	
causes_fear	jiang_astro_0_att
encourages	jiang_astro_0_att
hide_forest	jiang_astro_0_att
undead	jiang_astro_0_att
spell_mastery	jiang_astro_0_att
encourages	jiang_astro_1_att
spell_mastery	jiang_astro_1_att
undead	jiang_astro_1_att
causes_fear	jiang_astro_2_att
encourages	jiang_astro_2_att
flying	jiang_astro_2_att
spell_mastery	jiang_astro_2_att
undead	jiang_astro_2_att
always_flying	jiang_astro_3_att
encourages	jiang_astro_3_att
spell_mastery	jiang_astro_3_att
undead	jiang_astro_3_att
causes_fear	jiang_astro_3_att
causes_terror	jiang_astro_3_att
causes_fear	jiang_jade_shug_1_att
encourages	jiang_jade_shug_1_att
hide_forest	jiang_jade_shug_1_att
undead	jiang_jade_shug_1_att
spell_mastery	jiang_jade_shug_1_att
hide_forest	jiang_astro_1_att
causes_fear	jiang_jade_shug_2_att
encourages	jiang_jade_shug_2_att
hide_forest	jiang_jade_shug_2_att
undead	jiang_jade_shug_2_att
spell_mastery	jiang_jade_shug_2_att
causes_fear	jiang_jade_shug_3_att
encourages	jiang_jade_shug_3_att
flying	jiang_jade_shug_3_att
spell_mastery	jiang_jade_shug_3_att
undead	jiang_jade_shug_3_att
causes_fear	wightkin_attribs
charge_defense_vs_large	wightkin_attribs
guerrilla_deploy	wightkin_attribs
hide_forest	wightkin_attribs
ignore_trees	wightkin_attribs
undead	wightkin_attribs
causes_fear	wiltings_attribs
guerrilla_deploy	wiltings_attribs
hide_forest	wiltings_attribs
ignore_trees	wiltings_attribs
undead	wiltings_attribs
