character_skill	character_level	upgrade_to_skill_level
#character_skills_to_level_reached_criterias_tables;0;db/character_skills_to_level_reached_criterias_tables/jiangshi_reborn+		
jiang_yuwei_unique_zombie_dragon	16	1
jiangshi_anc_mount_vmp_master_necromancer_barded_nightmare	7	1
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart	9	1
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_balefire	12	1
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone	15	1
jiangshi_anc_mount_vmp_master_necromancer_hellsteed	9	1
jiangshi_anc_mount_vmp_necromancer_corpse_cart	9	1
jiangshi_anc_mount_vmp_necromancer_corpse_cart_balefire	12	1
jiangshi_anc_mount_vmp_necromancer_corpse_cart_unholy_lodestone	15	1
jiangshi_anc_mount_vmp_necromancer_nightmare	7	1
jiangshi_anc_mount_vmp_wight_king_barded_skeletal_steed	3	1
