character_name	character_level	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
#battle_set_piece_armies_characters_tables;8;db/battle_set_piece_armies_characters_tables/dynasty_of_the_damned_theak_oppo												
theak_tome_cha_alchemist	1	1087565330	wh_main_lore_metal	100	1015096215	wh3_main_cth_cha_alchemist_0	engineer	wh3_main_cth_alchemist	ui/portraits/portholes/no_culture/cth_alchemist_campaign_01_0.png	902452890	qb_alch_tome	false
theak_tome_astromancer	1	1087565330	wh_main_lore_heavens	100	1015096215	wh3_main_cth_cha_astromancer_0	wizard	wh3_main_cth_astromancer	ui/portraits/portholes/wh3_main_cth_cathay/cth_astromancer_campaign_01_0.png	2076027974	qb_astro_tome	true
theak_tome_shugengan_lord_yang	1	1087565330	wh3_main_lore_of_yang	100	1015096215	wh3_main_cth_cha_dragon_blooded_shugengan_lord_yang_0	general	wh3_main_cth_dragon_blooded_shugengan_yang	ui/portraits/portholes/no_culture/cth_shugengan_lord_campaign_01_0.png	1341098218	qb_shug_tome_yang	true
theak_tome_shugengan_lord_yin	1	1087565330	wh_dlc03_lore_beasts	100	1015096215	wh3_main_cth_cha_dragon_blooded_shugengan_lord_yin_0	general	wh3_main_cth_dragon_blooded_shugengan_yin	ui/portraits/portholes/no_culture/cth_shugengan_lord_campaign_02_0.png	633065683	qb_shug_tome_yin	true
theak_tome_magistrate	1	1087565330	wh_dlc03_lore_beasts	100	1015096215	wh3_main_cth_cha_lord_magistrate_0	general	wh3_main_cth_lord_magistrate_yin	ui/portraits/portholes/wh3_main_cth_cathay/cth_lord_magistrate_campaign_01_0.png	1678387202	qb_magistrate_tome	true
theak_dagger_magistrate	1	1087565330	wh_dlc03_lore_beasts	100	1015096215	wh3_main_cth_cha_lord_magistrate_1	general	wh3_main_cth_lord_magistrate_yin	ui/portraits/portholes/wh3_main_cth_cathay/cth_lord_magistrate_campaign_01_0.png	1649915607	qb_magistrate_dagger	true
theak_dagger_shugengan_lord_yang	1	1087565330	wh3_main_lore_of_yang	100	1015096215	wh3_main_cth_cha_dragon_blooded_shugengan_lord_yang_2	general	wh3_main_cth_dragon_blooded_shugengan_yang	ui/portraits/portholes/no_culture/cth_shugengan_lord_campaign_03_0.png	732629466	qb_shug_dagger_yang	true
theak_dagger_cha_alchemist	1	1087565330	wh_main_lore_metal	100	1015096215	wh3_main_cth_cha_alchemist_1	engineer	wh3_main_cth_alchemist	ui/portraits/portholes/no_culture/cth_alchemist_campaign_01_0.png	902452890	qb_alch_dagger	false
theak_dagger_cha_astromancer	1	1087565330	wh_main_lore_heavens	100	1015096215	wh3_main_cth_cha_astromancer_1	wizard	wh3_main_cth_astromancer	ui/portraits/portholes/wh3_main_cth_cathay/cth_astromancer_campaign_01_0.png	2076027974	qb_astro_dagger	true
