key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;17;db/unit_abilities_tables/astroliche_+											
lesser_doombolt_jiang	true	wh2_main_spell_dark_magic_doombolt	wh2_main_spell_dark_magic_doombolt	wh_type_bombardment	spell_previews/dark/wh2_main_spell_dark_magic_doombolt	wh_main_anc_group_uncommon	true	false	spell		false
lesser_doombolt_upgraded	true	wh2_main_spell_dark_magic_doombolt		wh_type_bombardment	spell_previews/dark/wh2_main_spell_dark_magic_doombolt	wh_main_anc_group_uncommon	true	false	spell		false
wave_of_darkness_jiang	true	wave_darkness	wave_of_darkness_upgraded_jiang	wh_type_breath		wh_main_anc_group_common	true	false	spell		false
wave_of_darkness_upgraded_jiang	true	wave_darkness		wh_type_breath		wh_main_anc_group_common	true	false	spell		false
assault_of_stone_bound	true	better_assault_of_stone		wh_type_bombardment		wh_main_anc_group_rare	true	false	active		false
krakens_pull_bound	true	wh2_dlc11_spell_deep_krakens_pull		wh_type_vortex	spell_previews/deep/wh_dlc11_spell_deep_krakens_pull	wh_main_anc_group_rare	true	false	active		false
breaker_of_will_passive	true	passive_willbreaker		wh_type_area_of_hexes		wh_main_anc_group_uncommon	true	false	passive		false
unholy_rebirth_passive	true	unholy_rebirth		wh_type_regeneration		wh_main_anc_group_uncommon	true	false	passive		false
bloody_confluence	true	based_16		wh_type_augment		wh_main_anc_group_unique	true	false	passive		false
