key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;17;db/unit_abilities_tables/jiangshi_reborn_+											
theak_thick_shadows	false	theak_eye_of_darkness		wh_type_area_of_ward_save_hex		wh_main_anc_group_rare	false	false	passive		false
bound_shadow_pendulum	false	wh_dlc05_spell_shadow_the_penumbral_pendulum		wh_type_wind		wh_main_anc_group_uncommon	false	false	bound		false
bound_choaking_miasma	false	wh_dlc05_spell_shadow_melkoths_mystifying_miasma		wh_type_direct_damage		wh_main_anc_group_common	false	false	bound		false
vindictive_necromancy	false	vindictive_necromancy		wh_type_augment		wh_main_anc_group_uncommon	false	false	passive		false
bound_fotd	false	wh2_dlc11_spell_deep_fog_of_the_damned		wh_type_area_of_hexes	spell_previews/deep/wh_dlc11_spell_deep_fog_of_the_damned	wh_main_anc_group_uncommon	false	false	bound		false
bound_mm	false	wh3_main_spell_yin_missile_mirror		wh_type_hex	spell_previews/yin/wh3_main_yin_missile_mirror	wh_main_anc_group_uncommon	false	false	bound		false
necromantic_breath	false	necrotic_breath		wh_type_breath	spell_previews/wild/wh_dlc03_spell_wild_bray_scream	wh_main_anc_group_common	false	false	bound		false
necro_coil_zap	false	necro_coil		wh_type_bombardment		wh_main_anc_group_rare	false	false	passive		false
bm_theak_item_passive_the_forbidden_tome	true	wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations		wh_type_hex_of_the_winds		wh_main_anc_group_unique	true	false	passive		false
