special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/astroliche_+	
jiangshi_dark_magic	lesser_doombolt_jiang
jiangshi_dark_magic	wave_of_darkness_jiang
jiangshi_dark_magic	wh2_main_lore_passive_spiteful_conjuration
jiangshi_dark_magic	wh2_main_spell_dark_magic_power_of_darkness
jiangshi_dark_magic	wh2_main_spell_dark_magic_soul_stealer
jiangshi_dark_magic	wh2_main_spell_dark_magic_word_of_pain
jiangshi_dark_magic	wh3_main_spell_yin_ancestral_warriors
jiangshi_dark_magic_upgraded	lesser_doombolt_upgraded
jiangshi_dark_magic_upgraded	wh2_main_spell_dark_magic_word_of_pain_upgraded
jiangshi_dark_magic_upgraded	wave_of_darkness_upgraded_jiang
jiangshi_dark_magic_upgraded	wh3_main_spell_yin_ancestral_warriors_upgraded
jiangshi_yuwei_magic	wh3_main_lore_passive_power_of_yin
jiangshi_yuwei_magic	wh3_main_spell_yin_blossom_wind
jiangshi_yuwei_magic	wh3_main_spell_yin_missile_mirror
jiangshi_yuwei_magic	wh3_main_spell_yin_talons_of_night
jiangshi_yuwei_magic	wh3_main_spell_yin_ancestral_warriors
jiangshi_yuwei_magic	wh_main_lore_passive_the_curse_of_undeath
jiangshi_yuwei_magic	wh_main_spell_vampires_curse_of_years
jiangshi_yuwei_magic	wh_main_spell_vampires_raise_dead
jiangshi_yuwei_magic	wh_main_spell_vampires_invocation_of_nehek
jiangshi_yuwei_magic_upgraded	wh_main_spell_vampires_raise_dead_upgraded
jiangshi_yuwei_magic_upgraded	wh_main_spell_vampires_invocation_of_nehek_upgraded
jiangshi_yuwei_magic_upgraded	wh3_main_spell_yin_ancestral_warriors_upgraded
jiangshi_yuwei_magic_upgraded	wh3_main_spell_yin_blossom_wind_upgraded
jiangshi_yuwei_magic_upgraded	wh3_main_spell_yin_missile_mirror_upgraded
jiangshi_yuwei_magic_upgraded	wh3_main_spell_yin_talons_of_night_upgraded
