id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/jiangshi_reborn_garrisons+			
417196296	100	jiang_zombie_reg	jiang_defence_major_1
417196297	125	jiang_zombie_longspear	jiang_defence_major_1
417196298	150	jiang_zombie_archer	jiang_defence_major_1
417196299	150	jiang_zombie_archer	jiang_defence_major_1
417196304	750	wh2_dlc11_cst_inf_syreens	jiang_defence_major_2
417196305	750	wh2_dlc11_cst_inf_syreens	jiang_defence_major_2
417196306	850	wh_main_vmp_inf_grave_guard_0_jiang	jiang_defence_major_2
417196307	850	wh_main_vmp_inf_grave_guard_0_jiang	jiang_defence_major_2
417196308	875	jiang_grave_guard_crossbow	jiang_defence_major_2
417196311	850	wh_main_vmp_inf_grave_guard_0_jiang	jiang_defence_major_3
417196312	850	wh_main_vmp_inf_grave_guard_0_jiang	jiang_defence_major_3
417196313	1000	jiang_grave_guard_halberd	jiang_defence_major_3
417196314	1000	jiang_grave_guard_halberd	jiang_defence_major_3
417196315	1025	wh2_dlc11_cst_mon_mournguls_0	jiang_defence_major_3
417196316	1025	wh2_dlc11_cst_mon_mournguls_0	jiang_defence_major_3
417196322	150	jiang_zombie_archer	jiang_defence_minor_1
417196323	150	jiang_zombie_archer	jiang_defence_minor_1
417196324	150	jiang_zombie_archer	jiang_defence_minor_1
417196331	1250	wh_main_vmp_cha_banshee	jiang_defence_minor_2
417196332	1050	jiang_shadow_lantern	jiang_defence_minor_2
417196333	875	jiang_grave_guard_crossbow	jiang_defence_minor_2
417196334	875	jiang_grave_guard_crossbow	jiang_defence_minor_2
417196340	100	jiang_zombie_reg	jiang_settlement_major_1
417196341	100	jiang_zombie_reg	jiang_settlement_major_1
417196342	100	jiang_zombie_reg	jiang_settlement_major_1
417196343	100	jiang_zombie_reg	jiang_settlement_major_1
417196344	150	jiang_zombie_archer	jiang_settlement_major_1
417196345	150	jiang_zombie_archer	jiang_settlement_major_1
417196346	150	jiang_zombie_archer	jiang_settlement_major_1
417196347	150	jiang_zombie_archer	jiang_settlement_major_1
417196348	125	jiang_zombie_longspear	jiang_settlement_major_1
417196349	125	jiang_zombie_longspear	jiang_settlement_major_1
417196350	86	wh_dlc04_vmp_veh_corpse_cart_0_jiang	jiang_settlement_major_1
417196351	86	wh_dlc04_vmp_veh_corpse_cart_0_jiang	jiang_settlement_major_1
417196352	400	wh_main_vmp_inf_crypt_ghouls_jiang	jiang_settlement_major_1
417196353	750	jiang_shuimu	jiang_settlement_major_1
417196354	150	jiang_zombie_archer	jiang_settlement_major_2
417196355	150	jiang_zombie_archer	jiang_settlement_major_2
417196356	150	jiang_zombie_archer	jiang_settlement_major_2
417196357	150	jiang_zombie_archer	jiang_settlement_major_2
417196358	125	jiang_zombie_longspear	jiang_settlement_major_2
417196359	125	jiang_zombie_longspear	jiang_settlement_major_2
417196360	125	jiang_zombie_longspear	jiang_settlement_major_2
417196361	125	jiang_zombie_longspear	jiang_settlement_major_2
417196362	87	wh_dlc04_vmp_veh_corpse_cart_1_jiang	jiang_settlement_major_2
417196363	750	jiang_shuimu	jiang_settlement_major_2
417196364	400	wh_main_vmp_inf_crypt_ghouls_jiang	jiang_settlement_major_2
417196365	400	wh_main_vmp_inf_crypt_ghouls_jiang	jiang_settlement_major_2
417196366	700	wh_main_vmp_mon_crypt_horrors_jiang	jiang_settlement_major_2
417196367	700	wh_main_vmp_mon_crypt_horrors_jiang	jiang_settlement_major_2
417196368	750	wh2_dlc11_cst_inf_syreens	jiang_settlement_major_3
417196369	750	wh2_dlc11_cst_inf_syreens	jiang_settlement_major_3
