technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/jiangshi_reborn+			
wh_main_tech_vmp_jiangshi_01	fr_armor	faction_to_force_own_unseen	10.0000
wh_main_tech_vmp_jiangshi_02	iw_speed	faction_to_force_own_unseen	5.0000
wh_main_tech_vmp_jiangshi_03	scs_reload	faction_to_force_own_unseen	10.0000
wh_main_tech_vmp_jiangshi_04	dch_frostbite	faction_to_force_own_unseen	1.0000
wh_main_tech_vmp_jiangshi_05	gs_fogofdamned	faction_to_force_own_unseen	1.0000
wh_main_tech_vmp_jiangshi_06	cm_curse	faction_to_force_own_unseen	1.0000
wh_main_tech_vmp_jiangshi_07	fss_mr	faction_to_force_own_unseen	15.0000
wh_main_tech_vmp_jiangshi_08	bfe_ability	faction_to_force_own_unseen	1.0000
wh_main_tech_vmp_jiangshi_09	ns_barrier	faction_to_force_own_unseen	700.0000
wh_main_tech_vmp_jiangshi_01	fr_mass	faction_to_force_own_unseen	20.0000
wh_main_tech_vmp_jiangshi_02	iw_vigor	faction_to_force_own_unseen	-40.0000
wh_main_tech_vmp_jiangshi_03	scs_range	faction_to_force_own_unseen	6.0000
wh_main_tech_vmp_jiangshi_04	dch_ws	faction_to_force_own_unseen	5.0000
wh_main_tech_vmp_jiangshi_05	gs_barrier	faction_to_force_own_unseen	700.0000
wh_main_tech_vmp_jiangshi_06	cm_rangedmg	faction_to_force_own_unseen	10.0000
wh_main_tech_vmp_jiangshi_08	bfe_fr	faction_to_force_own_unseen	25.0000
wh_main_tech_vmp_jiangshi_07	fss_speed	faction_to_force_own_unseen	25.0000
wh_main_tech_vmp_jiangshi_09	ns_missile_reflect	faction_to_force_own_unseen	1.0000
wh_main_tech_vmp_jiang_06A	wh_main_effect_force_stat_charge_bonus_pct_blood_knights	faction_to_force_own_unseen	15.0000
wh_main_tech_vmp_jiang_06A	wh_main_effect_force_stat_melee_attack_blood_knights	faction_to_force_own_unseen	5.0000
wh_main_tech_vmp_jiang_06A	wh_main_effect_force_stat_melee_defence_blood_knights	faction_to_force_own_unseen	5.0000
wh_main_tech_vmp_jiang_12	jiangshi_superiority_upkeep_zombie	faction_to_force_own_unseen	-25.0000
wh_main_tech_vmp_jiang_12	jiangshi_superiority_recruit_rank	faction_to_force_own_unseen	2.0000
wh_main_tech_vmp_jiang_12	jiangshi_superiority_raisdead	faction_to_force_own_unseen	2.0000
wh_main_tech_vmp_jiang_09A	cathay_relations	faction_to_faction_own_unseen	35.0000
wh_main_tech_vmp_jiang_09A	cathy_trade_increase	faction_to_region_own_unseen	10.0000
wh_main_tech_vmp_jiang_09A	cathay_goods	faction_to_region_own_unseen	10.0000
wh_main_tech_vmp_jiang_12	jiangshi_superiority_upkeep_gg	faction_to_force_own_unseen	-15.0000
wh_main_tech_vmp_jiang_12	jiangshi_superiority_upkeep_dynasty	faction_to_force_own_unseen	-10.0000
