character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/jiang_reborn+			
cam_hu1_empire_staff_and_sword	yuwei_feng_4	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	yuwei_feng_5	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	yuwei_zombie_dragon	cam_hu1_empire_dr1_dragon_wb_sword_and_shield	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_master_necromancer_1	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_master_necromancer_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_master_necromancer_3	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_necromancer_1	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_necromancer_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_necromancer_3	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_master_necromancer_4	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_master_necromancer_5	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	jiangshi_cha_necromancer_5	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_sword_and_shield	jiangshi_cha_wight_king_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	jiangshi_cha_wight_king_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
