ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/jiangshi_skill+	
aura_lost_souls	wh_main_all_replenish
aura_lost_souls	wh_main_all_resurrect_hp
aura_lost_souls	wh_main_all_resurrect
necro_coil_zap	necro_zap!
necro_coil_zap	wh2_main_all_magical_damage_minor
necro_coil_zap	wh_main_all_strong_against_multiple
unholy_rebirth_passive	wh2_dlc15_spell_medium_stationary_aoe
unholy_rebirth_passive	wh2_main_all_magical_and_flaming_major
unholy_rebirth_passive	wh2_main_all_rebirth_buff_chance
