key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/jiangshi_undead+	
hu1_cst_zombie_halberd_jade_eyes	humanoid01
hu1_empire_halberd_jade_eyes	humanoid01
hu1_graveguard_2handed_sword_jade_eyes	humanoid01
hu1_graveguard_sword_and_shield_jade_eyes	humanoid01
hu1_skeleton_spear_and_shield_jade_eyes	humanoid01
hu1_skeleton_sword_and_shield_jade_eyes	humanoid01
hu1_vampire_zombie_sword_jade_eyes	humanoid01
vigpro_skeleton_ox	oxen01
hu1e_halberd_jade_eyes	humanoid01e
hu1e_skylantern01_crew_pilot_jade_eyes	humanoid01e
hu1e_crossbow_sword_and_shield_jade_eyes	humanoid01e
hu1_cst_zombie_artillery_jade_eyes	humanoid01
wh3_shadow_lantern	skyjunk01
hu1_vampire_zombie_sword_unstable_jade_eyes	humanoid01
vigpro_spirit_dragon	dragon04
hu1e_wh3_cathay_hr1_longma_halberd_and_shield_eye_glow	humanoid01e
hu1e_mage_lord_aquamarine	humanoid01e
zombie_archers_jade_eyes	humanoid01
hu1e_hr1_warhorse_mage_lord_aquamarine	humanoid01e
hu1e_wh3_cathay_hr1_longma_mage_lord_aquamarine	humanoid01e
hu1_tomb_sword_and_shield_jade_eyes	humanoid01
hu1e_mage_hero_black_wind	humanoid01e
hu1e_wh3_cathay_hr1_longma_halberd_and_shield_jade_eyes	humanoid01e
hu1e_theak_monk	humanoid01e
dy_of_da_hr1_skeletal_steed	horse01
dy_of_da_hr1_wh3_longma	horse01
