unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/jiangshi_reborn+	
jiang_damned_cannon	wh3_jiangshi_group
jiang_grave_guard_crossbow	wh3_jiangshi_group
jiang_grave_guard_halberd	wh3_jiangshi_group
jiang_shadow_lantern	wh3_jiangshi_group
jiang_zombie_longspear	wh3_jiangshi_group
wh2_dlc11_cst_inf_syreens	wh3_jiangshi_group
jiang_zombie_reg	wh3_jiangshi_group
jiang_dracolith	wh3_jiangshi_group
wh2_dlc11_cst_cha_mourngul_haunter	wh3_jiangshi_group
jiang_grave_guard_crossbow_balefireshaft	wh3_jiangshi_group
jiang_zombie_archer	wh3_jiangshi_group
jiang_zombie_archer_putridshaft	wh3_jiangshi_group
jiang_necro_mortar	wh3_jiangshi_group
wh_main_vmp_cha_wight_king_2	wh3_jiangshi_group
wh_main_vmp_cha_wight_king_1	wh3_jiangshi_group
wh_main_vmp_cha_wight_king_0	wh3_jiangshi_group
jade_blooded_shugengan_01	wh3_jiangshi_group
jade_blooded_shugengan_02	wh3_jiangshi_group
jade_blooded_shugengan_03	wh3_jiangshi_group
wh_main_vmp_cha_necromancer_5	wh3_jiangshi_group
wh_main_vmp_cha_necromancer_0	wh3_jiangshi_group
wh_main_vmp_cha_master_necromancer_5	wh3_jiangshi_group
wh_main_vmp_cha_master_necromancer_4	wh3_jiangshi_group
wh_main_vmp_cha_master_necromancer_0	wh3_jiangshi_group
wh_main_vmp_cha_mannfred_von_carstein_4	wh3_jiangshi_group
wh_main_vmp_cha_mannfred_von_carstein_3	wh3_jiangshi_group
wh_main_vmp_cha_mannfred_von_carstein_2	wh3_jiangshi_group
wh_main_vmp_cha_mannfred_von_carstein_0	wh3_jiangshi_group
wh_main_vmp_cha_heinrich_kemmler	wh3_jiangshi_group
wh_main_vmp_cha_banshee	wh3_jiangshi_group
wh_dlc04_vmp_cha_strigoi_ghoul_king_1	wh3_jiangshi_group
wh_dlc04_vmp_cha_strigoi_ghoul_king_0	wh3_jiangshi_group
wh2_dlc11_cst_mon_mournguls_0	wh3_jiangshi_group
jiang_shuimu	wh3_jiangshi_group
jiangshi_cha_master_necromancer_0	wh3_jiangshi_group
jiangshi_cha_master_necromancer_1	wh3_jiangshi_group
jiangshi_cha_master_necromancer_2	wh3_jiangshi_group
jiangshi_cha_master_necromancer_3	wh3_jiangshi_group
jiangshi_cha_master_necromancer_4	wh3_jiangshi_group
jiangshi_cha_master_necromancer_5	wh3_jiangshi_group
jiangshi_cha_necromancer_0	wh3_jiangshi_group
jiangshi_cha_necromancer_1	wh3_jiangshi_group
jiangshi_cha_necromancer_2	wh3_jiangshi_group
jiangshi_cha_necromancer_3	wh3_jiangshi_group
jiangshi_cha_necromancer_5	wh3_jiangshi_group
jiangshi_cha_wight_king_0	wh3_jiangshi_group
jiangshi_cha_wight_king_1	wh3_jiangshi_group
jiangshi_cha_wight_king_2	wh3_jiangshi_group
