unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/jiangshi_groupings+	
wh_main_vmp_cav_black_knights_0_jiang	wh3_jiangshi_group
wh_main_vmp_cav_black_knights_3_jiang	wh3_jiangshi_group
wh_main_vmp_cav_hexwraiths_jiang	wh3_jiangshi_group
wh_main_vmp_inf_cairn_wraiths_jiang	wh3_jiangshi_group
wh_main_vmp_inf_crypt_ghouls_jiang	wh3_jiangshi_group
wh_main_vmp_inf_grave_guard_0_jiang	wh3_jiangshi_group
wh_main_vmp_inf_grave_guard_1_jiang	wh3_jiangshi_group
wh_main_vmp_inf_skeleton_warriors_0_jiang	wh3_jiangshi_group
wh_main_vmp_inf_skeleton_warriors_1_jiang	wh3_jiangshi_group
wh_main_vmp_mon_crypt_horrors_jiang	wh3_jiangshi_group
wh_main_vmp_veh_black_coach_jiang	wh3_jiangshi_group
wh_dlc04_vmp_veh_mortis_engine_0_jiang	wh3_jiangshi_group
wh_dlc02_vmp_cav_blood_knights_0_jiang	wh3_jiangshi_group
wh_dlc04_vmp_veh_corpse_cart_0_jiang	wh3_jiangshi_group
wh_dlc04_vmp_veh_corpse_cart_1_jiang	wh3_jiangshi_group
wh_dlc04_vmp_veh_corpse_cart_2_jiang	wh3_jiangshi_group
jiang_copsewight	wh3_jiangshi_group
jiang_longma_undead	wh3_jiangshi_group
