unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/jiangshi_ror+	
wh2_dlc11_cst_mon_mournguls_ror_0	wh3_jiangshi_group
wh_dlc04_vmp_cav_chillgheists_0	wh3_jiangshi_group
wh_dlc04_vmp_cav_vereks_reavers_0	wh3_jiangshi_group
wh_dlc04_vmp_inf_feasters_in_the_dusk_0	wh3_jiangshi_group
wh_dlc04_vmp_inf_konigstein_stalkers_0	wh3_jiangshi_group
wh_dlc04_vmp_inf_sternsmen_0	wh3_jiangshi_group
wh_dlc04_vmp_veh_claw_of_nagash_0	wh3_jiangshi_group
wh2_dlc11_cst_inf_deck_gunners_ror_0	wh3_jiangshi_group
wh3_twa08_cth_mon_terracotta_sentinel_0_ror	wh3_jiangshi_group
