building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/rhox_dotd_replace_vanilla						
jiangshi_armoury_1	rhox_dotd_effect_agent_enable_recruitment_champion_jiangshi		province_to_province_own	1.0000	1.0000	0.0000
jiangshi_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_black_knights_0		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_black_knights_1		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_cairn_wraiths		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_graveguard_0		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_graveguard_1		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_2	rhox_dotd_effect_agent_enable_recruitment_champion_jiangshi		province_to_province_own	1.0000	1.0000	0.0000
jiangshi_armoury_2	wh_main_effect_agent_recruitment_xp_champion_vampire_counts		province_to_province_own	4.0000	2.0000	0.0000
jiangshi_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_black_knights_0		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_black_knights_1		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_cairn_wraiths		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_graveguard_0		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_graveguard_1		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_hexwraiths		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_necromancers_1	wh2_main_effect_ability_enable_garrison_heroes		building_to_forces_own_regionwide	1.0000	1.0000	1.0000
jiangshi_necromancers_1	wh_main_effect_agent_cap_increase_wizard_necromancer		faction_to_faction_own_unseen	1.0000	1.0000	0.0000
jiangshi_necromancers_1	rhox_dotd_effect_agent_enable_recruitment_wizard_jiangshi		province_to_province_own	1.0000	1.0000	0.0000
jiangshi_necromancers_1	wh_main_effect_agent_recruitment_xp_wizard_vampire_counts		province_to_province_own	2.0000	2.0000	0.0000
jiangshi_necromancers_1	wh_main_effect_building_vampiric_mercenary_capacity_corpse_cart_1		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_necromancers_1	wh_main_effect_building_vampiric_mercenary_capacity_corpse_cart_2		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_necromancers_1	wh_main_effect_building_vampiric_mercenary_replenishment_corpse_cart_1		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_necromancers_1	wh_main_effect_building_vampiric_mercenary_replenishment_corpse_cart_2		faction_to_faction_own	1.0000	0.0000	0.0000
jiangshi_necromancers_1	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	50.0000	25.0000	0.0000
jiangshi_necromancers_1	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	4.0000	2.0000	0.0000
jiangshi_necromancers_1	wh_main_effect_unit_recruitment_points		province_to_province_own	1.0000	1.0000	0.0000
jiangshi_necromancers_2	wh2_main_effect_ability_enable_garrison_heroes		building_to_forces_own_regionwide	1.0000	1.0000	1.0000
jiangshi_necromancers_2	wh_main_effect_agent_cap_increase_wizard_necromancer		faction_to_faction_own_unseen	1.0000	1.0000	0.0000
jiangshi_necromancers_2	rhox_dotd_effect_agent_enable_recruitment_wizard_jiangshi		province_to_province_own	1.0000	1.0000	0.0000
jiangshi_necromancers_2	wh_main_effect_agent_recruitment_xp_wizard_vampire_counts		province_to_province_own	4.0000	2.0000	0.0000
