bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/astroliche_+	
spellcaster	astroliche_theak_01
spellcaster	astroliche_theak_02
spellcaster	astroliche_theak_03
always_flying	astroliche_theak_04
spellcaster	astroliche_theak_04
necro_coilzzap	astroliche_theak_04
aura_lost_souls	astroliche_theak_04
spellcaster	yuwei_feng_0
spellcaster	yuwei_feng_4
spellcaster	yuwei_feng_5
spellcaster	yuwei_zombie_dragon
very_fast	yuwei_feng_4
very_fast	astroliche_theak_03
terror	yuwei_zombie_dragon
frostbite	yuwei_zombie_dragon
armour_piercing	yuwei_zombie_dragon
spellcaster	jade_blooded_shugengan_01
spellcaster	jade_blooded_shugengan_02
spellcaster	jade_blooded_shugengan_03
very_fast	jade_blooded_shugengan_03
damage_dealer	jiang_wiltings
forest_spirit	jiang_wiltings
vanguard_deployment	jiang_wiltings
armoured	jiang_wightkin
charge_reflector_vs_large	jiang_wightkin
forest_spirit	jiang_wightkin
vanguard_deployment	jiang_wightkin
armour_piercing	bm_theak_moloch_monks
armour_sundering	bm_theak_moloch_monks
melee_expert	bm_theak_moloch_monks
