level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/jiangshi_reborn+																							
jiangshi_burial_recruit_2	jiangshi_burial_grounds	1	2	3000	0		false	false			true	jiangshi_burial_ground	false	0.0000	0	true	3		true	0	0		0
jiangshi_burial_recruit_3	jiangshi_burial_grounds	2	3	4000	0		false	false			true	jiangshi_burial_ground	false	0.0000	0	true	4		true	0	0		0
jiangshi_burial_recruit_1	jiangshi_burial_grounds	0	1	1500	0		false	false			true	jiangshi_burial_ground	false	0.0000	0	true	1		true	0	0		0
jiangshi_conclave_1	jiangshi_dark_conclave	0	3	4000	0		false	false			true	jiangshi_concalve_key	false	0.0000	0	true	3		true	0	0		0
jiangshi_conclave_2	jiangshi_dark_conclave	1	4	6000	0		false	false			true	jiangshi_concalve_key	false	0.0000	0	true	4		true	0	0		0
jiangshi_armoury_1	jangshi_VAMPIRES_armoury	0	3	3000	0		false	false			true	wh_main_VAMPIRES_armoury	false	0.0000	0	true	2		true	0	0		0
jiangshi_armoury_2	jangshi_VAMPIRES_armoury	1	5	6000	0		false	false			true	wh_main_VAMPIRES_armoury	false	0.0000	0	true	4		true	0	0		0
jiangshi_necromancers_1	jiangshi_VAMPIRES_necromancers	0	5	5000	0		false	false			true	wh_main_VAMPIRES_necromancers	false	0.0000	0	true	4		true	0	0		0
jiangshi_necromancers_2	jiangshi_VAMPIRES_necromancers	1	6	10000	0		false	false			true	wh_main_VAMPIRES_necromancers	false	0.0000	0	true	5		true	0	0		0
jiangshi_ossuary_1	jiangshi_VAMPIRES_ossuary	0	1	1000	0		false	false			true	wh_main_VAMPIRES_ossuary	true	0.0000	0	true	1		true	0	0		0
jiangshi_ossuary_2	jiangshi_VAMPIRES_ossuary	1	2	1500	0		false	false			true	wh_main_VAMPIRES_ossuary	true	0.0000	0	true	2		true	0	0		0
jiangshi_ossuary_3	jiangshi_VAMPIRES_ossuary	2	3	2000	0		false	false			true	wh_main_VAMPIRES_ossuary	true	0.0000	0	true	3		true	0	0		0
