granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/jiangshi_reborn+		
wh_main_anc_mount_vmp_master_necromancer_barded_nightmare	wh_main_skill_vmp_lord_unique_necromancer_barded_nightmare	1
wh_main_anc_mount_vmp_master_necromancer_hellsteed	wh_main_skill_vmp_lord_unique_necromancer_hellsteed	1
jiang_vmp_yuwei_lord_zombie_dragon	jiang_yuwei_unique_zombie_dragon	1
jiangshi_anc_mount_vmp_master_necromancer_barded_nightmare	jiangshi_anc_mount_vmp_master_necromancer_barded_nightmare	1
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart	jiangshi_anc_mount_vmp_master_necromancer_corpse_cart	1
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_balefire	jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_balefire	1
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone	jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone	1
jiangshi_anc_mount_vmp_master_necromancer_hellsteed	jiangshi_anc_mount_vmp_master_necromancer_hellsteed	1
jiangshi_anc_mount_vmp_necromancer_corpse_cart	jiangshi_anc_mount_vmp_necromancer_corpse_cart	1
jiangshi_anc_mount_vmp_necromancer_corpse_cart_balefire	jiangshi_anc_mount_vmp_necromancer_corpse_cart_balefire	1
jiangshi_anc_mount_vmp_necromancer_corpse_cart_unholy_lodestone	jiangshi_anc_mount_vmp_necromancer_corpse_cart_unholy_lodestone	1
jiangshi_anc_mount_vmp_necromancer_nightmare	jiangshi_anc_mount_vmp_necromancer_nightmare	1
jiangshi_anc_mount_vmp_wight_king_barded_skeletal_steed	jiangshi_anc_mount_vmp_wight_king_barded_skeletal_steed	1
