set	unit
#factionwide_recruitment_unit_exclusions_units_sets_junctions_tables;0;db/factionwide_recruitment_unit_exclusions_units_sets_junctions_tables/jiangshi_reborn+	
exclusion_set_jiangshi	wh_dlc04_vmp_mon_devils_swartzhafen_0
exclusion_set_jiangshi	wh_dlc04_vmp_mon_direpack_0
exclusion_set_jiangshi	wh_main_vmp_inf_zombie
exclusion_set_jiangshi	wh_main_vmp_mon_dire_wolves
exclusion_set_jiangshi	wh_main_vmp_mon_fell_bats
exclusion_set_jiangshi	wh_main_vmp_mon_terrorgheist
exclusion_set_jiangshi	wh_main_vmp_mon_vargheists
exclusion_set_jiangshi	wh_main_vmp_mon_varghulf
exclusion_set_jiangshi	wh_dlc04_vmp_inf_tithe_0
