army_name	unit_name	script_name	number_of_unit
#battle_set_piece_armies_units_junctions_tables;0;db/battle_set_piece_armies_units_junctions_tables/dynasty_of_the_damned			
theak_stage_1_battle_player_tome	theak_dynasty_jiang_copsewight		1
theak_stage_1_battle_player_tome	theak_dynasty_jiang_longma_undead		2
theak_stage_1_battle_player_tome	theak_dynasty_jiang_damned_cannon		1
theak_stage_1_battle_player_tome	theak_dynasty_wh_main_vmp_inf_skeleton_warriors_0_jiang		6
theak_stage_1_battle_player_tome	theak_dynasty_wh_main_vmp_inf_grave_guard_1_jiang		3
theak_stage_1_battle_player_tome	theak_dynasty_jiang_grave_guard_crossbow		3
theak_stage_1_battle_player_tome	theak_dynasty_jiang_shadow_lantern		1
theak_stage_1_army_01_tome	theak_cth_grand_cannon	loyalist_army	2
theak_stage_1_army_01_tome	theak_cth_jade_warriors_0	loyalist_army	4
theak_stage_1_army_01_tome	theak_cth_peasant_archers	loyalist_army	3
theak_stage_1_army_01_tome	theak_cth_peasant_spearmen	loyalist_army	2
theak_stage_1_army_01_tome	theak_cth_jade_lancers	loyalist_army	2
theak_stage_1_army_rein_01_tome	wh3_main_cth_inf_dragon_guard_0	loyalist_army_rein_01	2
theak_stage_1_army_rein_01_tome	wh3_main_cth_mon_terracotta_sentinel_0	loyalist_army_rein_01	1
theak_1_army_rein_02_tome	wh3_main_cth_inf_jade_warriors_1	loyalist_army_rein_02	3
theak_1_army_rein_02_tome	wh3_main_cth_inf_crane_gunners_0	loyalist_army_rein_02	2
theak_stage_1_battle_player_dagger	theak_dynasty_wh_main_vmp_inf_grave_guard_0_jiang		4
theak_stage_1_battle_player_dagger	theak_dynasty_jiang_grave_guard_halberd		2
theak_stage_1_battle_player_dagger	theak_dynasty_jiang_grave_guard_crossbow_balefireshaft		3
theak_stage_1_battle_player_dagger	theak_dynasty_jiang_longma_undead		2
theak_stage_1_battle_player_dagger	theak_dynasty_jiang_copsewight		3
theak_stage_1_battle_player_dagger	theak_dynasty_jiang_shadow_lantern		2
theak_stage_1_battle_player_dagger	theak_dynasty_jiang_damned_cannon		2
theak_stage_1_army_01_dagger	theak_cth_peasant_archers	monk_army_01	3
theak_stage_1_army_01_dagger	theak_cth_peasant_spearmen	monk_army_01	2
theak_stage_1_army_01_dagger	moloch_monks	monk_army_01	2
theak_stage_1_army_01_dagger_rein_01	wh3_main_cth_inf_dragon_guard_0	monk_army_rein_01	3
theak_stage_1_army_01_dagger_rein_01	wh3_main_cth_inf_dragon_guard_crossbowmen_0	monk_army_rein_01	2
theak_stage_1_army_01_dagger_rein_01	theak_cth_sky_junk	monk_army_rein_01	1
theak_stage_1_army_01_dagger_rein_01	wh3_main_cth_mon_terracotta_sentinel_0	monk_army_rein_01	1
theak_1_army_rein_02_dagger	moloch_monks	monk_army_rein_02	3
