army_name	character_name	script_name
#battle_set_piece_armies_characters_junctions_tables;0;db/battle_set_piece_armies_characters_junctions_tables/dynasty_of_the_damned		
theak_stage_1_battle_player_tome	yuwei_feng_tome	
theak_stage_1_battle_player_tome	dusk_wight_tome	
theak_stage_1_army_01_tome	theak_tome_shugengan_lord_yin	loyalist_army
theak_stage_1_army_01_tome	theak_tome_astromancer	loyalist_army
theak_stage_1_army_rein_01_tome	theak_tome_shugengan_lord_yang	loyalist_army_rein_01
theak_1_army_rein_02_tome	theak_tome_magistrate	loyalist_army_rein_02
theak_1_army_rein_02_tome	theak_tome_cha_alchemist	loyalist_army_rein_02
theak_stage_1_battle_player_dagger	yuwei_feng_dagger	
theak_stage_1_battle_player_dagger	dusk_wight_dagger_1	
theak_stage_1_battle_player_dagger	dusk_wight_dagger_2	
theak_stage_1_army_01_dagger	theak_dagger_shugengan_lord_yang	monk_army_01
theak_stage_1_army_01_dagger	theak_dagger_cha_alchemist	monk_army_01
theak_stage_1_army_01_dagger_rein_01	theak_dagger_magistrate	monk_army_rein_01
theak_1_army_rein_02_dagger	theak_dagger_cha_astromancer	monk_army_rein_02
