skill	skillset_key	sort_order
#battle_set_piece_armies_characters_skillsets_skills_tables;1;db/battle_set_piece_armies_characters_skillsets_skills_tables/qb_tome		
wh_main_skill_vmp_lord_battle_aura_of_supremacy	qb_tome_theak_lord	530
jiangshi_spells_of_protection	qb_tome_theak_lord	531
jiangshi_malevolant_munitions	qb_tome_theak_lord	532
jiang_skill_innate_vmp_scholar_of_forbidden_arts	qb_tome_theak_lord	533
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	qb_tome_theak_lord	534
wh_main_skill_vmp_magic_vampires_03_the_curse_of_undeath	qb_tome_theak_lord	535
wh3_main_skill_cth_magic_yin_03_blossom_wind_lord	qb_tome_theak_lord	536
wh3_main_skill_cth_magic_yin_04_missile_mirror_lord	qb_tome_theak_lord	537
wh2_main_skill_vmp_magic_vampires_05_raise_dead_lord	qb_tome_theak_lord	538
wh3_main_skill_cth_magic_yin_07_talons_of_night_lord	qb_tome_theak_lord	539
wh2_dlc14_skilll_all_magic_all_greater_arcane_conduit	qb_tome_theak_lord	540
jiang_vigorously_animated	qb_tome_theak_lord	541
jiang_lichdom	qb_tome_theak_lord	542
wh_main_skill_vmp_lord_battle_aura_of_dark_majesty	qb_tome_theak_lord	543
wh_main_skill_vmp_lord_battle_dark_pact	qb_tome_theak_lord	544
wh3_main_skill_cth_magic_yin_05_power_of_yin	qb_tome_theak_lord	545
wh_main_skill_vmp_lord_battle_aura_of_supremacy	qb_dagger_theak_lord	546
jiangshi_spells_of_protection	qb_dagger_theak_lord	547
jiangshi_malevolant_munitions	qb_dagger_theak_lord	548
jiang_skill_innate_vmp_scholar_of_forbidden_arts	qb_dagger_theak_lord	549
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	qb_dagger_theak_lord	550
wh_main_skill_vmp_magic_vampires_03_the_curse_of_undeath	qb_dagger_theak_lord	551
wh3_main_skill_cth_magic_yin_03_blossom_wind_lord	qb_dagger_theak_lord	552
wh3_main_skill_cth_magic_yin_04_missile_mirror_lord	qb_dagger_theak_lord	553
wh2_main_skill_vmp_magic_vampires_05_raise_dead_lord	qb_dagger_theak_lord	554
wh3_main_skill_cth_magic_yin_07_talons_of_night_lord	qb_dagger_theak_lord	555
wh2_dlc14_skilll_all_magic_all_greater_arcane_conduit	qb_dagger_theak_lord	556
jiang_vigorously_animated	qb_dagger_theak_lord	557
jiang_lichdom	qb_dagger_theak_lord	558
wh_main_skill_vmp_lord_battle_aura_of_dark_majesty	qb_dagger_theak_lord	559
wh_main_skill_vmp_lord_battle_dark_pact	qb_dagger_theak_lord	560
wh3_main_skill_cth_magic_yin_05_power_of_yin	qb_dagger_theak_lord	561
wh2_main_skill_innate_all_knowledgeable	qb_dusk_dagger	562
astro_wave_of_darkness	qb_dusk_dagger	563
wh2_main_skill_magic_dark_lore_attribute	qb_dusk_dagger	564
astro_lesser_doombolt	qb_dusk_dagger	565
wh2_main_skill_magic_dark_power_of_darkness_lord	qb_dusk_dagger	566
wh2_main_skill_magic_dark_word_of_pain_lord	qb_dusk_dagger	567
wh_main_skill_all_magic_all_06_evasion	qb_dusk_dagger	568
wh_main_skill_all_magic_all_07_earthing	qb_dusk_dagger	569
wh_main_skill_all_magic_all_08_power_drain	qb_dusk_dagger	570
wh3_main_skill_cth_magic_yin_08_ancestral_warriors_lord	qb_dusk_dagger	571
wh2_main_skill_magic_dark_soul_stealer_lord	qb_dusk_dagger	571
wh_main_skill_all_magic_all_11_arcane_conduit	qb_dusk_dagger	571
astro_necrocoil	qb_dusk_dagger	571
wh2_main_skill_innate_all_knowledgeable	qb_dusk_tome	534
astro_wave_of_darkness	qb_dusk_tome	535
wh2_main_skill_magic_dark_lore_attribute	qb_dusk_tome	536
wh2_main_skill_magic_dark_power_of_darkness_lord	qb_dusk_tome	537
wh3_main_skill_cth_magic_yin_08_ancestral_warriors_lord	qb_dusk_tome	538
wh2_main_skill_innate_all_knowledgeable	qb_dusk_dagger_h	539
astro_wave_of_darkness	qb_dusk_dagger_h	540
wh2_main_skill_magic_dark_lore_attribute	qb_dusk_dagger_h	541
astro_lesser_doombolt	qb_dusk_dagger_h	542
wh2_main_skill_magic_dark_power_of_darkness_lord	qb_dusk_dagger_h	543
wh2_main_skill_magic_dark_word_of_pain_lord	qb_dusk_dagger_h	544
wh_main_skill_all_magic_all_06_evasion	qb_dusk_dagger_h	545
wh_main_skill_all_magic_all_07_earthing	qb_dusk_dagger_h	546
wh_main_skill_all_magic_all_08_power_drain	qb_dusk_dagger_h	547
wh3_main_skill_cth_magic_yin_08_ancestral_warriors_lord	qb_dusk_dagger_h	548
wh2_main_skill_magic_dark_soul_stealer_lord	qb_dusk_dagger_h	549
wh_main_skill_all_magic_all_11_arcane_conduit	qb_dusk_dagger_h	550
