skill	skillset_key	sort_order
#battle_set_piece_armies_characters_skillsets_skills_tables;1;db/battle_set_piece_armies_characters_skillsets_skills_tables/jiangshi_reborn+		
wh2_main_skill_all_hero_assist_army_scouting	astrolicher_theak	530
wh2_main_skill_all_hero_passive_spread_corruption_vmp	astrolicher_theak	531
wh2_main_skill_all_hero_hinder_settlement_steal_technology	astrolicher_theak	532
wh2_main_skill_all_hero_hinder_agent_wound	astrolicher_theak	533
wh2_main_skill_all_hero_hinder_army_block_army	astrolicher_theak	534
wh2_main_skill_all_hero_reduce_action_cost	astrolicher_theak	535
wh2_main_skill_all_dummy_agent_actions_vmp_vampire	astrolicher_theak	536
wh_main_skill_vmp_all_unique_grave_ward	astrolicher_theak	537
astro_vigor_mortis	astrolicher_theak	538
barrier_astro	astrolicher_theak	539
wh2_main_skill_all_immortality_hero	astrolicher_theak	540
wh2_main_skill_innate_vmp_dark_majesty	astrolicher_theak	541
wh2_main_skill_innate_vmp_devious	astrolicher_theak	542
wh2_main_skill_innate_vmp_dread_incarnate	astrolicher_theak	543
wh2_main_skill_innate_vmp_lore_keeper	astrolicher_theak	544
wh2_main_skill_innate_vmp_master_of_the_black_arts	astrolicher_theak	545
wh2_main_skill_innate_all_cunning	astrolicher_theak	546
wh2_main_skill_innate_all_fleet_footed	astrolicher_theak	547
wh2_main_skill_innate_all_confident	astrolicher_theak	548
wh2_main_skill_innate_all_disciplined	astrolicher_theak	549
wh2_main_skill_innate_all_perceptive	astrolicher_theak	550
wh2_main_skill_innate_def_malevolent	astrolicher_theak	551
wh2_main_skill_innate_all_tough	astrolicher_theak	552
wh2_main_skill_innate_all_knowledgeable	astrolicher_theak	553
wh2_main_skill_innate_def_vicious	astrolicher_theak	554
astro_wave_of_darkness	astrolicher_theak	555
wh2_main_skill_magic_dark_lore_attribute	astrolicher_theak	556
astro_lesser_doombolt	astrolicher_theak	557
wh2_main_skill_magic_dark_power_of_darkness_lord	astrolicher_theak	558
wh2_main_skill_magic_dark_word_of_pain_lord	astrolicher_theak	559
wh_main_skill_all_magic_all_06_evasion	astrolicher_theak	560
wh_main_skill_all_magic_all_07_earthing	astrolicher_theak	561
wh_main_skill_all_magic_all_08_power_drain	astrolicher_theak	562
wh3_main_skill_cth_magic_yin_08_ancestral_warriors_lord	astrolicher_theak	563
wh2_main_skill_magic_dark_soul_stealer_lord	astrolicher_theak	564
wh_main_skill_all_magic_all_11_arcane_conduit	astrolicher_theak	565
enable_dark_jiang_skill	astrolicher_theak	566
astro_barbed_steed	astrolicher_theak	567
astro_hellsteed	astrolicher_theak	568
wh3_main_skill_all_mentor_hero	astrolicher_theak	569
wh3_main_skill_agent_action_success_scaling	astrolicher_theak	570
astro_necrocoil	astrolicher_theak	571
wh3_main_skill_agent_action_success_scaling	jian_xiu_necro_set	123
wh_dlc08_skill_vmp_lord_unique_necromancer_leading_dead	jian_xiu_necro_set	124
wh_dlc08_skill_vmp_lord_unique_necromancer_raising_dead	jian_xiu_necro_set	125
wh_main_skill_vmp_lord_battle_aura_of_supremacy	jian_xiu_necro_set	126
wh2_dlc11_skill_vmp_bloodline_all_battle_the_unliving_host	jian_xiu_necro_set	127
jiangshi_spells_of_protection	jian_xiu_necro_set	128
wh2_dlc11_skill_vmp_bloodline_all_battle_evil_souls	jian_xiu_necro_set	129
jiangshi_malevolant_munitions	jian_xiu_necro_set	130
wh2_dlc11_skill_vmp_bloodline_all_battle_waking_dead	jian_xiu_necro_set	131
wh2_dlc11_skill_vmp_bloodline_all_battle_carriages_of_death	jian_xiu_necro_set	132
